tickers, sector
ENGI11.SA, Utilities
HAPV3.SA, Healthcare
CPFE3.SA, Utilities
CMIN3.SA, Materials
CVCB3.SA, ConsumerDiscretionary
CYRE3.SA, RealEstate
DXCO3.SA, Materials
DIRR3.SA, RealEstate
ECOR3.SA, Industrials
ELET3.SA, Utilities
ELET6.SA, Utilities
CPLE6.SA, Utilities
ENAT3.SA, Energy
CPLE3.SA, Utilities
ENEV3.SA, Utilities
EGIE3.SA, Utilities
EQTL3.SA, Utilities
EZTC3.SA, RealEstate
FLRY3.SA, Healthcare
GGBR4.SA, Materials
GOAU4.SA, Materials
GMAT3.SA, ConsumerDiscretionary
NTCO3.SA, ConsumerStaples
RRRP3.SA, Energy
EMBR3.SA, Industrials
BBAS3.SA, Financials
ALOS3.SA, Healthcare
ALPA4.SA, ConsumerDiscretionary
ABEV3.SA, ConsumerStaples
ARZZ3.SA, ConsumerDiscretionary
ASAI3.SA, ConsumerStaples
AURE3.SA, RealEstate
AZUL4.SA, Industrials
B3SA3.SA, Financials
BBSE3.SA, Financials
BBDC3.SA, Financials
CSAN3.SA, Energy
BRAP4.SA, Materials
HYPE3.SA, Healthcare
BRKM5.SA, Materials
BRFS3.SA, ConsumerStaples
BPAC11.SA, Financials
CXSE3.SA, Technology
CRFB3.SA, ConsumerStaples
CCRO3.SA, Industrials
CMIG4.SA, Utilities
CIEL3.SA, Technology
COGN3.SA, ConsumerDiscretionary
CSMG3.SA, Utilities
BBDC4.SA, Financials
TEND3.SA, RealEstate
SOMA3.SA, ConsumerDiscretionary
RAIL3.SA, Industrials
SBSP3.SA, Utilities
SANB11.SA, Financials
STBP3.SA, Industrials
SMTO3.SA, ConsumerStaples
CSNA3.SA, Materials
SLCE3.SA, ConsumerStaples
SMFT3.SA, ConsumerStaples
SUZB3.SA, Materials
RAIZ4.SA, Energy
VIVT3.SA, CommunicationServices
RADL3.SA, ConsumerStaples
TIMS3.SA, CommunicationServices
TOTS3.SA, Technology
TRPL4.SA, Utilities
UGPA3.SA, Energy
USIM5.SA, Materials
VALE3.SA, Materials
VAMO3.SA, Industrials
VBBR3.SA, Industrials
VIVA3.SA, RealEstate
WEGE3.SA, Industrials
TAEE11.SA, Utilities
BEEF3.SA, ConsumerStaples
IGTI11.SA, Financials
IRBR3.SA, Financials
ITSA4.SA, Financials
ITUB4.SA, Financials
JBSS3.SA, ConsumerStaples
KLBN11.SA, Materials
RENT3.SA, ConsumerDiscretionary
LREN3.SA, ConsumerDiscretionary
LWSA3.SA, Technology
MGLU3.SA, ConsumerDiscretionary
RDOR3.SA, Healthcare
MRFG3.SA, ConsumerStaples
YDUQ3.SA, ConsumerDiscretionary
MOVI3.SA, ConsumerDiscretionary
MRVE3.SA, RealEstate
MULT3.SA, RealEstate
PCAR3.SA, ConsumerStaples
PETR3.SA, Energy
PETR4.SA, Energy
RECV3.SA, Energy
PRIO3.SA, Energy
PETZ3.SA, ConsumerDiscretionary
PSSA3.SA, Financials
POMO4.SA, ConsumerDiscretionary